date,close
2020-11-17,133.5179
2020-11-18,133.9046
2020-11-19,134.5941
2020-11-20,135.7879
2020-11-23,135.1658
2020-11-24,133.8206
2020-11-25,133.4086
2020-11-27,134.7033
2020-11-30,134.5352
2020-12-01,132.5516
2020-12-02,131.4996
2020-12-03,132.56
2020-12-04,130.6159
2020-12-07,131.7941
2020-12-08,132.4169
2020-12-09,131.9793
2020-12-10,133.1491
2020-12-11,133.6204
2020-12-14,133.2501
2020-12-15,132.804
2020-12-16,132.4506
2020-12-17,132.1001
2020-12-18,131.7041
2020-12-21,132.2265
2020-12-22,132.9089
2020-12-23,131.9906
2020-12-24,132.5129
2020-12-28,132.5719
2020-12-29,132.4034
2020-12-30,132.6898
2020-12-31,132.8836
2021-01-04,132.7235
2021-01-05,131.7378
2021-01-06,129.0335
2021-01-07,127.8961
2021-01-08,127.4833
2021-01-11,127.2727
2021-01-12,127.1716
2021-01-13,128.6038
2021-01-14,127.3991
2021-01-15,127.9046
2021-01-19,128.3174
2021-01-20,128.4438
2021-01-21,127.5423
2021-01-22,127.9551
2021-01-25,129.4631
2021-01-26,129.2188
2021-01-27,129.5474
2021-01-28,128.8313
2021-01-29,128.0562
2021-02-01,128.2047
2021-02-02,127.3781
2021-02-03,126.2479
2021-02-04,125.9105
2021-02-05,124.8562
2021-02-08,125.4044
2021-02-09,125.4972
2021-02-10,126.3322
2021-02-11,125.6406
2021-02-12,124.0802
2021-02-16,122.1909
2021-02-17,122.9668
2021-02-18,122.4692
2021-02-19,120.8413
2021-02-22,119.922
2021-02-23,119.5762
2021-02-24,118.7917
2021-02-25,116.8518
2021-02-26,120.7148
2021-03-01,119.1205
2021-03-02,119.1289
2021-03-03,117.8369
2021-03-04,117.0768
2021-03-05,117.3049
2021-03-08,116.3928
2021-03-09,118.0058
2021-03-10,118.2422
2021-03-11,117.3893
2021-03-12,114.8981
2021-03-15,115.5737
2021-03-16,115.1092
2021-03-17,114.2479
2021-03-18,113.091
2021-03-19,113.7919
2021-03-22,115.067
2021-03-23,116.1057
2021-03-24,116.7306
2021-03-25,115.8101
2021-03-26,115.4048
2021-03-29,114.4252
2021-03-30,115.0248
2021-03-31,114.383
2021-04-01,116.2814
2021-04-05,115.774
2021-04-06,116.5605
2021-04-07,115.7487
2021-04-08,116.7042
2021-04-09,116.2814
2021-04-12,116.2307
2021-04-13,117.1017
2021-04-14,116.7296
2021-04-15,118.683
2021-04-16,117.7613
2021-04-19,117.423
2021-04-20,117.9642
2021-04-21,118.201
2021-04-22,118.7168
2021-04-23,118.4378
2021-04-26,118.2686
2021-04-27,117.237
2021-04-28,117.3131
2021-04-29,116.9664
2021-04-30,117.237
2021-05-03,117.3073
2021-05-04,118.1033
2021-05-05,118.2981
2021-05-06,118.4929
2021-05-07,117.9085
2021-05-10,116.7145
2021-05-11,116.0539
2021-05-12,114.8344
2021-05-13,115.0123
2021-05-14,116.0878
2021-05-17,115.8422
2021-05-18,115.5458
2021-05-19,115.2663
2021-05-20,116.2148
2021-05-21,116.5874
2021-05-24,117.0193
2021-05-25,118.1033
2021-05-26,117.9001
2021-05-27,117.4258
2021-05-28,117.2395
2021-06-01,117.2135
2021-06-02,117.4849
2021-06-03,117.0439
2021-06-04,118.6468
2021-06-07,118.2821
2021-06-08,119.1132
2021-06-09,120.1648
2021-06-10,120.8857
2021-06-11,120.6906
2021-06-14,119.7662
2021-06-15,119.6221
2021-06-16,119.5203
2021-06-17,121.3097
2021-06-18,123.5911
2021-06-21,121.5218
2021-06-22,121.8186
2021-06-23,121.5048
2021-06-24,121.6999
2021-06-25,120.4362
2021-06-28,121.6744
2021-06-29,121.878
2021-06-30,122.4207
2021-07-01,122.4275
2021-07-02,123.1663
2021-07-06,124.6099
2021-07-07,125.7139
2021-07-08,126.2064
2021-07-09,124.4316
2021-07-12,124.2703
2021-07-13,123.3192
2021-07-14,124.7203
2021-07-15,126.096
2021-07-16,125.8582
2021-07-19,128.6181
2021-07-20,127.3783
2021-07-21,125.7648
2021-07-22,126.9537
2021-07-23,126.1045
2021-07-26,125.7309
2021-07-27,127.0726
2021-07-28,127.0811
2021-07-29,126.3763
2021-07-30,126.9707
2021-08-02,128.1032
2021-08-03,128.1712
2021-08-04,128.4348
2021-08-05,127.7801
2021-08-06,125.646
2021-08-09,125.1954
2021-08-10,124.6173
2021-08-11,124.5407
2021-08-12,124.3367
2021-08-13,126.3007
2021-08-16,126.6068
2021-08-17,126.5558
2021-08-18,126.9809
2021-08-19,127.9161
2021-08-20,128.0012
2021-08-23,127.9161
2021-08-24,126.9214
2021-08-25,125.8671
2021-08-26,126.2157
2021-08-27,127.0744
2021-08-30,127.406
2021-08-31,126.5388
2021-09-01,126.7507
2021-09-02,127.3041
2021-09-03,126.1463
2021-09-07,125.0822
2021-09-08,125.9335
2021-09-09,127.4573
2021-09-10,126.3336
2021-09-13,127.0998
2021-09-14,128.6406
2021-09-15,128.1894
2021-09-16,127.602
2021-09-17,126.9891
2021-09-20,128.564
2021-09-21,128.4534
2021-09-22,129.2195
2021-09-23,126.2996
2021-09-24,125.0652
2021-09-27,124.6055
2021-09-28,122.6645
2021-09-29,122.8773
2021-09-30,122.8603
2021-10-01,123.8942
2021-10-04,123.5788
2021-10-05,122.3855
2021-10-06,123.0759
2021-10-07,121.7888
2021-10-08,120.9364
2021-10-11,120.6296
2021-10-12,122.6924
2021-10-13,123.8857
2021-10-14,124.346
2021-10-15,123.6215
2021-10-18,124.2011
2021-10-19,122.4878
2021-10-20,121.661
2021-10-21,121.5161
2021-10-22,122.8543
2021-10-25,122.6668
2021-10-26,123.6811
2021-10-27,125.9314
2021-10-28,125.5052
2021-10-29,125.8888
2021-11-01,124.9824
2021-11-02,125.5372
2021-11-03,124.2399
2021-11-04,125.5457
2021-11-05,127.4234
2021-11-08,127.1844
2021-11-09,128.8401
2021-11-10,126.4845
2021-11-11,126.2968
2021-11-12,125.742
2021-11-15,124.1631
2021-11-16,123.8473
2021-11-17,124.8288
2021-11-18,125.2982
2021-11-19,126.6211
2021-11-22,125.136
2021-11-23,123.3267
2021-11-24,125.3067
2021-11-26,128.4731
2021-11-29,127.4404
2021-11-30,129.3778
2021-12-01,130.1759
2021-12-02,130.3383
2021-12-03,131.8935
2021-12-06,130.0819
2021-12-07,129.0309
2021-12-08,126.8006
2021-12-09,127.5098
2021-12-10,127.2022
2021-12-13,129.0821
2021-12-14,128.7745
2021-12-15,127.5355
2021-12-16,127.5851
2021-12-17,129.0308
2021-12-20,128.0642
2021-12-21,127.5765
2021-12-22,128.1668
2021-12-23,127.0547
2021-12-27,127.3627
2021-12-28,126.8579
2021-12-29,125.4721
2021-12-30,126.5243
2021-12-31,126.7724
2022-01-03,123.4446
2022-01-04,122.9313
2022-01-05,122.2641
2022-01-06,122.5806
2022-01-07,121.6994
2022-01-10,121.9989
2022-01-11,122.8116
2022-01-12,122.3411
2022-01-13,123.4275
2022-01-14,121.5626
2022-01-18,119.8516
2022-01-19,120.6814
2022-01-20,121.4257
2022-01-21,122.8714
2022-01-24,121.862
2022-01-25,121.6652
2022-01-26,120.1938
2022-01-27,122.4009
2022-01-28,122.4437
2022-01-31,121.8107
2022-02-01,121.4063
2022-02-02,121.8175
2022-02-03,120.8666
2022-02-04,119.0848
2022-02-07,119.1619
2022-02-08,118.3652
2022-02-09,118.5879
2022-02-10,116.7032
2022-02-11,118.4337
